0.0121245 -0.364133-0.931268
0.0121991 -0.366374 -0.930388
0.0252384 -0.352385 -0.935515
0.025093 -0.363778 -0.931148
0.0121146 -0.363835 -0.931384
-0.000851832 -0.356566 -0.93427
-0.000879033 -0.367953 -0.929844
-0.0138479 -0.375786 -0.926603
-0.0139538 -0.366424 -0.930343
-0.040545 -0.370306 -0.928025
-0.0657639 -0.363452 -0.929289
-0.0914655 -0.362331 -0.927551
-0.118716 -0.366455 -0.922831
-0.107335 -0.346014 -0.93207
-0.146172 -0.369599 -0.917622
-0.157908 -0.41818 -0.894534
-0.168585 -0.450725 -0.876599
-0.202099 -0.361973 -0.910017
-0.239796 -0.397808 -0.885577
-0.231386 -0.392851 -0.890016
-0.227444 -0.399416 -0.888108
-0.195882 -0.402552 -0.894193
-0.147345 -0.359329 -0.921505
-0.119806 -0.38294 -0.915971
-0.120153 -0.37089 -0.920871
-0.0794466 -0.379603 -0.921732
-0.0660479 -0.377889 -0.923492
-0.0402392 -0.380346 -0.923969
-0.0274522 -0.384922 -0.922541
-0.000948543 -0.397049 -0.917797
0.0123085 -0.398103 -0.917258
0.0385956 -0.395762 -0.917542
0.0505158 -0.399255 -0.915447
0.0749477 -0.430947 -0.89926
0.159777 -0.469823 -0.868181
0.188882 -0.463711 -0.865619
0.147464 -0.473314 -0.868463
0.105713 -0.454346 -0.884531
0.0789048 -0.467232 -0.880607
0.0798351 -0.451232 -0.888829
0.0695445 -0.471581 -0.879076
0.0660474 -0.498012 -0.864651
0.0532178 -0.517783 -0.853855
0.0532018 -0.531573 -0.84534
0.0544883 -0.544427 -0.837037
0.0409887 -0.564995 -0.824076
0.0350777 -0.596719 -0.801683
0.0356829 -0.594131 -0.803576
0.0364026 -0.606115 -0.794543
0.0363315 -0.631183 -0.774782
0.0371647 -0.618805 -0.784665
0.0245045 -0.62441 -0.780712
0.038546 -0.627916 -0.777326
0.0254969 -0.635358 -0.771797
0.0532316 -0.64411 -0.763078
0.0255485 -0.651013 -0.758637
0.0335537 -0.631649 -0.774528
0.0243792 -0.593825 -0.804225
0.0112261 -0.594867 -0.803746
0.0109968 -0.582718 -0.8126
0.0419928 -0.593793 -0.803521
0.0131315 -0.581255 -0.813616
0.0273988 -0.591102 -0.806131
0.042321 -0.568312 -0.821724
0.0564461 -0.549193 -0.833787
0.0409887 -0.564995 -0.824076
0.0410894 -0.537182 -0.842465
0.0417356 -0.516067 -0.855531
0.0270254 -0.479293 -0.877239
0.0126428 -0.438428 -0.898678
0.0126444 -0.423687 -0.905721
0.0125387 -0.420146 -0.90737
0.0128065 -0.399369 -0.916701
0.0127946 -0.398999 -0.916862
0.0127419 -0.368064 -0.929713
0.0128185 -0.355655 -0.934529
0.0126507 -0.365431 -0.930752
0.0128091 -0.355395 -0.934629
0.012812 -0.340931 -0.940001
0.0262792 -0.352893 -0.935295
0.0127363 -0.353375 -0.935395
0.0129041 -0.343383 -0.939107
0.0129886 -0.345631 -0.938281
-0.000854477 -0.357674 -0.933846
0.0260201 -0.363298 -0.93131
0.0128166 -0.384919 -0.922861
0.0128166 -0.384919 -0.922861
0.0128189 -0.399754 -0.916533
0.0127499 -0.397604 -0.917468
0.0129143 -0.402729 -0.915228
-0.000955494 -0.399958 -0.916533
-0.00098998 -0.414393 -0.910097
-0.0145704 -0.408119 -0.912812
-0.000991027 -0.414832 -0.909898
-0.0422308 -0.399171 -0.915903
-0.042462 -0.414878 -0.908886
-0.0560149 -0.412832 -0.909083
-0.0965145 -0.422907 -0.901019
-0.123625 -0.43572 -0.891552
-0.148976 -0.430178 -0.890367
-0.164925 -0.436765 -0.884328
-0.163631 -0.419868 -0.892713
-0.18961 -0.417357 -0.888741
-0.192445 -0.409999 -0.891552
-0.193292 -0.398141 -0.896729
-0.192658 -0.410453 -0.891298
-0.193079 -0.397702 -0.896969
-0.180274 -0.41346 -0.892498
-0.167214 -0.415293 -0.894187
-0.155592 -0.407391 -0.899902
-0.139002 -0.413842 -0.899674
-0.113711 -0.422523 -0.899191
-0.113153 -0.406541 -0.906598
-0.0557576 -0.43783 -0.897327
-0.0557931 -0.424661 -0.903632
-0.0145553 -0.432943 -0.901304
-0.00102731 -0.43002 -0.902819
0.0226806 -0.414587 -0.909727
0.0464416 -0.415421 -0.908443
0.0794881 -0.414285 -0.90667
0.0778098 -0.420749 -0.903834
0.0924764 -0.397455 -0.91295
0.166154 -0.42489 -0.889866
0.196372 -0.418617 -0.886678
0.222905 -0.373815 -0.90032
0.22264 -0.38911 -0.893882
0.231553 -0.396093 -0.888535
0.244684 -0.386869 -0.889079
0.216482 -0.389827 -0.895081
0.217346 -0.391384 -0.894192
0.221864 -0.399519 -0.889472
0.21448 -0.419731 -0.881943
0.198466 -0.399513 -0.894986
0.17661 -0.426883 -0.886893
0.136117 -0.411764 -0.901068
0.129506 -0.415673 -0.900247
0.0915098 -0.436748 -0.894917
0.0658586 -0.414858 -0.907499
0.0784894 -0.420588 -0.90385
0.0689081 -0.431699 -0.899382
0.0335821 -0.427133 -0.903565
0.0255255 -0.425007 -0.90483
0.0122128 -0.423515 -0.905807
0.0124625 -0.403081 -0.915079
0.0262651 -0.408976 -0.912167
0.025746 -0.428679 -0.90309
0.012555 -0.406075 -0.913753
0.0123755 -0.414678 -0.909884
0.0124488 -0.402639 -0.915274
0.0126889 -0.381082 -0.924454
0.0125968 -0.378316 -0.925591
